"Pathway","Bacterium","Value","Map","Pathway_Class"
"Geraniol degradation","Limosilactobacillus mucosae LM011",0.82,"map00281","Metabolism; Metabolism of terpenoids and polyketides"
"Toluene degradation","Limosilactobacillus mucosae LM011",0.82,"map00623","Metabolism; Xenobiotics biodegradation and metabolism"
"Caprolactam degradation","Limosilactobacillus mucosae LM011",0.82,"map00930","Metabolism; Xenobiotics biodegradation and metabolism"
"Nitrogen metabolism","Limosilactobacillus mucosae LM011",0.81,"map00910","Metabolism; Energy metabolism"
"Lysine biosynthesis","Limosilactobacillus mucosae LM011",0.75,"map00300","Metabolism; Amino acid metabolism"
"Methane metabolism","Limosilactobacillus mucosae LM011",0.7,"map00680","Metabolism; Energy metabolism"
"Aminobenzoate degradation","Limosilactobacillus mucosae LM011",0.69,"map00627","Metabolism; Xenobiotics biodegradation and metabolism"
"Styrene degradation","Limosilactobacillus mucosae LM011",0.69,"map00643","Metabolism; Xenobiotics biodegradation and metabolism"
"Pantothenate and CoA biosynthesis","Limosilactobacillus mucosae LM011",0.67,"map00770","Metabolism; Metabolism of cofactors and vitamins"
"Fructose and mannose metabolism","Limosilactobacillus mucosae LM011",0.66,"map00051","Metabolism; Carbohydrate metabolism"
"Cyanoamino acid metabolism","Limosilactobacillus mucosae LM011",0.63,"map00460","Metabolism; Metabolism of other amino acids"
"Aminoacyl-tRNA biosynthesis","Limosilactobacillus mucosae LM011",0.63,"map00970","Genetic Information Processing; Translation"
"Propanoate metabolism","Limosilactobacillus mucosae LM011",0.62,"map00640","Metabolism; Carbohydrate metabolism"
"Peptidoglycan biosynthesis","Limosilactobacillus mucosae LM011",0.57,"map00550","Metabolism; Glycan biosynthesis and metabolism"
"Acarbose and validamycin biosynthesis","Limosilactobacillus mucosae LM011",0.55,"map00525","Metabolism; Biosynthesis of other secondary metabolites"
"Vitamin B6 metabolism","Limosilactobacillus mucosae LM011",0.55,"map00750","Metabolism; Metabolism of cofactors and vitamins"
"Tyrosine metabolism","Limosilactobacillus mucosae LM011",0.54,"map00350","Metabolism; Amino acid metabolism"
"Oxidative phosphorylation","Limosilactobacillus mucosae LM011",0.53,"map00190","Metabolism; Energy metabolism"
"Porphyrin and chlorophyll metabolism","Limosilactobacillus mucosae LM011",0.53,"map00860","Metabolism; Metabolism of cofactors and vitamins"
"Lipoic acid metabolism","Limosilactobacillus mucosae LM011",0.5,"map00785","Metabolism; Metabolism of cofactors and vitamins"
"Carbon fixation in photosynthetic organisms","Limosilactobacillus mucosae LM011",0.44,"map00710","Metabolism; Energy metabolism"
"Carbapenem biosynthesis","Limosilactobacillus mucosae LM011",0.4,"map00332","Metabolism; Biosynthesis of other secondary metabolites"
"Sulfur metabolism","Limosilactobacillus mucosae LM011",0.39,"map00920","Metabolism; Energy metabolism"
"Biosynthesis of ansamycins","Limosilactobacillus mucosae LM011",0.39,"map01051","Metabolism; Metabolism of terpenoids and polyketides"
"Novobiocin biosynthesis","Limosilactobacillus mucosae LM011",0.3,"map00401","Metabolism; Biosynthesis of other secondary metabolites"
"Selenocompound metabolism","Limosilactobacillus mucosae LM011",0.3,"map00450","Metabolism; Metabolism of other amino acids"
"Tropane; piperidine and pyridine alkaloid biosynthesis","Limosilactobacillus mucosae LM011",0.3,"map00960","Metabolism; Biosynthesis of other secondary metabolites"
"Monobactam biosynthesis","Limosilactobacillus mucosae LM011",0.29,"map00261","Metabolism; Biosynthesis of other secondary metabolites"
"Glycerophospholipid metabolism","Limosilactobacillus mucosae LM011",0.29,"map00564","Metabolism; Lipid metabolism"
"Dioxin degradation","Limosilactobacillus mucosae LM011",0.28,"map00621","Metabolism; Xenobiotics biodegradation and metabolism"
"Xylene degradation","Limosilactobacillus mucosae LM011",0.28,"map00622","Metabolism; Xenobiotics biodegradation and metabolism"
"Riboflavin metabolism","Limosilactobacillus mucosae LM011",0.27,"map00740","Metabolism; Metabolism of cofactors and vitamins"
"Neomycin; kanamycin and gentamicin biosynthesis","Limosilactobacillus mucosae LM011",0.26,"map00524","Metabolism; Biosynthesis of other secondary metabolites"
"alpha-Linolenic acid metabolism","Limosilactobacillus mucosae LM011",0.25,"map00592","Metabolism; Lipid metabolism"
"Chloroalkane and chloroalkene degradation","Limosilactobacillus mucosae LM011",0.25,"map00625","Metabolism; Xenobiotics biodegradation and metabolism"
"Naphthalene degradation","Limosilactobacillus mucosae LM011",0.25,"map00626","Metabolism; Xenobiotics biodegradation and metabolism"
"Retinol metabolism","Limosilactobacillus mucosae LM011",0.25,"map00830","Metabolism; Metabolism of cofactors and vitamins"
"Metabolism of xenobiotics by cytochrome P450","Limosilactobacillus mucosae LM011",0.25,"map00980","Metabolism; Xenobiotics biodegradation and metabolism"
"Drug metabolism - cytochrome P450","Limosilactobacillus mucosae LM011",0.25,"map00982","Metabolism; Xenobiotics biodegradation and metabolism"
"Biosynthesis of vancomycin group antibiotics","Limosilactobacillus mucosae LM011",0.21,"map01055","Metabolism; Metabolism of terpenoids and polyketides"
"Taurine and hypotaurine metabolism","Limosilactobacillus mucosae LM011",0.09,"map00430","Metabolism; Metabolism of other amino acids"
"Inositol phosphate metabolism","Limosilactobacillus mucosae LM011",0.02,"map00562","Metabolism; Carbohydrate metabolism"
"Zeatin biosynthesis","Limosilactobacillus mucosae LM011",0.02,"map00908","Metabolism; Metabolism of terpenoids and polyketides"
"Photosynthesis","Limosilactobacillus mucosae LM011",0.01,"map00195","Metabolism; Energy metabolism"
"Metabolic pathways","Limosilactobacillus reuteri JCM 1081",62.59,"map01100","Metabolic pathways"
"Biosynthesis of secondary metabolites","Limosilactobacillus reuteri JCM 1081",25.52,"map01110","Biosynthesis of secondary metabolites"
"Microbial metabolism in diverse environments","Limosilactobacillus reuteri JCM 1081",12.53,"map01120","Microbial metabolism in diverse environments"
"Porphyrin and chlorophyll metabolism","Limosilactobacillus reuteri JCM 1081",11.79,"map00860","Metabolism; Metabolism of cofactors and vitamins"
"Purine metabolism","Limosilactobacillus reuteri JCM 1081",6.38,"map00230","Metabolism; Nucleotide metabolism"
"Pyrimidine metabolism","Limosilactobacillus reuteri JCM 1081",5.25,"map00240","Metabolism; Nucleotide metabolism"
"Pentose and glucuronate interconversions","Limosilactobacillus reuteri JCM 1081",3.86,"map00040","Metabolism; Carbohydrate metabolism"
"Riboflavin metabolism","Limosilactobacillus reuteri JCM 1081",3.62,"map00740","Metabolism; Metabolism of cofactors and vitamins"
"Terpenoid backbone biosynthesis","Limosilactobacillus reuteri JCM 1081",3.3,"map00900","Metabolism; Metabolism of terpenoids and polyketides"
"Folate biosynthesis","Limosilactobacillus reuteri JCM 1081",3.08,"map00790","Metabolism; Metabolism of cofactors and vitamins"
"Pyruvate metabolism","Limosilactobacillus reuteri JCM 1081",3.06,"map00620","Metabolism; Carbohydrate metabolism"
"Carbon fixation pathways in prokaryotes","Limosilactobacillus reuteri JCM 1081",3.06,"map00720","Metabolism; Energy metabolism"
"Butanoate metabolism","Limosilactobacillus reuteri JCM 1081",3,"map00650","Metabolism; Carbohydrate metabolism"
"Pentose phosphate pathway","Limosilactobacillus reuteri JCM 1081",2.85,"map00030","Metabolism; Carbohydrate metabolism"
"Glycolysis / Gluconeogenesis","Limosilactobacillus reuteri JCM 1081",2.37,"map00010","Metabolism; Carbohydrate metabolism"
"Amino sugar and nucleotide sugar metabolism","Limosilactobacillus reuteri JCM 1081",2.36,"map00520","Metabolism; Carbohydrate metabolism"
"Fatty acid biosynthesis","Limosilactobacillus reuteri JCM 1081",2.35,"map00061","Metabolism; Lipid metabolism"
"Starch and sucrose metabolism","Limosilactobacillus reuteri JCM 1081",2.26,"map00500","Metabolism; Carbohydrate metabolism"
"Arginine biosynthesis","Limosilactobacillus reuteri JCM 1081",2.14,"map00220","Metabolism; Amino acid metabolism"
"Cysteine and methionine metabolism","Limosilactobacillus reuteri JCM 1081",2.05,"map00270","Metabolism; Amino acid metabolism"
"Pantothenate and CoA biosynthesis","Limosilactobacillus reuteri JCM 1081",1.93,"map00770","Metabolism; Metabolism of cofactors and vitamins"
"Nicotinate and nicotinamide metabolism","Limosilactobacillus reuteri JCM 1081",1.79,"map00760","Metabolism; Metabolism of cofactors and vitamins"
"Thiamine metabolism","Limosilactobacillus reuteri JCM 1081",1.74,"map00730","Metabolism; Metabolism of cofactors and vitamins"
"Alanine; aspartate and glutamate metabolism","Limosilactobacillus reuteri JCM 1081",1.72,"map00250","Metabolism; Amino acid metabolism"
"Valine; leucine and isoleucine degradation","Limosilactobacillus reuteri JCM 1081",1.64,"map00280","Metabolism; Amino acid metabolism"
"Benzoate degradation","Limosilactobacillus reuteri JCM 1081",1.58,"map00362","Metabolism; Xenobiotics biodegradation and metabolism"
"Glycine; serine and threonine metabolism","Limosilactobacillus reuteri JCM 1081",1.5,"map00260","Metabolism; Amino acid metabolism"
"Galactose metabolism","Limosilactobacillus reuteri JCM 1081",1.43,"map00052","Metabolism; Carbohydrate metabolism"
"Glycerolipid metabolism","Limosilactobacillus reuteri JCM 1081",1.43,"map00561","Metabolism; Lipid metabolism"
"Ubiquinone and other terpenoid-quinone biosynthesis","Limosilactobacillus reuteri JCM 1081",1.39,"map00130","Metabolism; Metabolism of cofactors and vitamins"
"Biotin metabolism","Limosilactobacillus reuteri JCM 1081",1.39,"map00780","Metabolism; Metabolism of cofactors and vitamins"
"O-Antigen nucleotide sugar biosynthesis","Limosilactobacillus reuteri JCM 1081",1.38,"map00541","Metabolism; Glycan biosynthesis and metabolism"
"Methane metabolism","Limosilactobacillus reuteri JCM 1081",1.36,"map00680","Metabolism; Energy metabolism"
"Arginine and proline metabolism","Limosilactobacillus reuteri JCM 1081",1.27,"map00330","Metabolism; Amino acid metabolism"
"Glutathione metabolism","Limosilactobacillus reuteri JCM 1081",1.27,"map00480","Metabolism; Metabolism of other amino acids"
"Drug metabolism - other enzymes","Limosilactobacillus reuteri JCM 1081",1.25,"map00983","Metabolism; Xenobiotics biodegradation and metabolism"
"Lysine degradation","Limosilactobacillus reuteri JCM 1081",1.18,"map00310","Metabolism; Amino acid metabolism"
"Tryptophan metabolism","Limosilactobacillus reuteri JCM 1081",1.18,"map00380","Metabolism; Amino acid metabolism"
"Propanoate metabolism","Limosilactobacillus reuteri JCM 1081",1.14,"map00640","Metabolism; Carbohydrate metabolism"
"Fatty acid degradation","Limosilactobacillus reuteri JCM 1081",1.07,"map00071","Metabolism; Lipid metabolism"
"D-Amino acid metabolism","Limosilactobacillus reuteri JCM 1081",0.97,"map00470","Metabolism; Metabolism of other amino acids"
"Citrate cycle (TCA cycle)","Limosilactobacillus reuteri JCM 1081",0.95,"map00020","Metabolism; Carbohydrate metabolism"
"Lysine biosynthesis","Limosilactobacillus reuteri JCM 1081",0.94,"map00300","Metabolism; Amino acid metabolism"
"beta-Alanine metabolism","Limosilactobacillus reuteri JCM 1081",0.86,"map00410","Metabolism; Metabolism of other amino acids"
"One carbon pool by folate","Limosilactobacillus reuteri JCM 1081",0.84,"map00670","Metabolism; Metabolism of cofactors and vitamins"
"Fatty acid elongation","Limosilactobacillus reuteri JCM 1081",0.82,"map00062","Metabolism; Lipid metabolism"
"Primary bile acid biosynthesis","Limosilactobacillus reuteri JCM 1081",0.82,"map00120","Metabolism; Lipid metabolism"
"Secondary bile acid biosynthesis","Limosilactobacillus reuteri JCM 1081",0.82,"map00121","Metabolism; Lipid metabolism"
"Geraniol degradation","Limosilactobacillus reuteri JCM 1081",0.82,"map00281","Metabolism; Metabolism of terpenoids and polyketides"
"Toluene degradation","Limosilactobacillus reuteri JCM 1081",0.82,"map00623","Metabolism; Xenobiotics biodegradation and metabolism"
"Glyoxylate and dicarboxylate metabolism","Limosilactobacillus reuteri JCM 1081",0.82,"map00630","Metabolism; Carbohydrate metabolism"
"Caprolactam degradation","Limosilactobacillus reuteri JCM 1081",0.82,"map00930","Metabolism; Xenobiotics biodegradation and metabolism"
"Nitrogen metabolism","Limosilactobacillus reuteri JCM 1081",0.81,"map00910","Metabolism; Energy metabolism"
"Aminoacyl-tRNA biosynthesis","Limosilactobacillus reuteri JCM 1081",0.8,"map00970","Genetic Information Processing; Translation"
"Dioxin degradation","Limosilactobacillus reuteri JCM 1081",0.76,"map00621","Metabolism; Xenobiotics biodegradation and metabolism"
"Xylene degradation","Limosilactobacillus reuteri JCM 1081",0.76,"map00622","Metabolism; Xenobiotics biodegradation and metabolism"
"C5-Branched dibasic acid metabolism","Limosilactobacillus reuteri JCM 1081",0.64,"map00660","Metabolism; Carbohydrate metabolism"
"Cyanoamino acid metabolism","Limosilactobacillus reuteri JCM 1081",0.63,"map00460","Metabolism; Metabolism of other amino acids"
"Peptidoglycan biosynthesis","Limosilactobacillus reuteri JCM 1081",0.55,"map00550","Metabolism; Glycan biosynthesis and metabolism"
"Oxidative phosphorylation","Limosilactobacillus reuteri JCM 1081",0.53,"map00190","Metabolism; Energy metabolism"
"Aflatoxin biosynthesis","Limosilactobacillus reuteri JCM 1081",0.52,"map00254","Metabolism; Biosynthesis of other secondary metabolites"
"Lipoic acid metabolism","Limosilactobacillus reuteri JCM 1081",0.5,"map00785","Metabolism; Metabolism of cofactors and vitamins"
"Streptomycin biosynthesis","Limosilactobacillus reuteri JCM 1081",0.47,"map00521","Metabolism; Biosynthesis of other secondary metabolites"
"Carbapenem biosynthesis","Limosilactobacillus reuteri JCM 1081",0.4,"map00332","Metabolism; Biosynthesis of other secondary metabolites"
"Sulfur metabolism","Limosilactobacillus reuteri JCM 1081",0.39,"map00920","Metabolism; Energy metabolism"
"Carbon fixation in photosynthetic organisms","Limosilactobacillus reuteri JCM 1081",0.33,"map00710","Metabolism; Energy metabolism"
"Fructose and mannose metabolism","Limosilactobacillus reuteri JCM 1081",0.32,"map00051","Metabolism; Carbohydrate metabolism"
"Selenocompound metabolism","Limosilactobacillus reuteri JCM 1081",0.31,"map00450","Metabolism; Metabolism of other amino acids"
"Monobactam biosynthesis","Limosilactobacillus reuteri JCM 1081",0.29,"map00261","Metabolism; Biosynthesis of other secondary metabolites"
"Glycerophospholipid metabolism","Limosilactobacillus reuteri JCM 1081",0.29,"map00564","Metabolism; Lipid metabolism"
"Phenylalanine metabolism","Limosilactobacillus reuteri JCM 1081",0.28,"map00360","Metabolism; Amino acid metabolism"
"Neomycin; kanamycin and gentamicin biosynthesis","Limosilactobacillus reuteri JCM 1081",0.26,"map00524","Metabolism; Biosynthesis of other secondary metabolites"
"Tyrosine metabolism","Limosilactobacillus reuteri JCM 1081",0.25,"map00350","Metabolism; Amino acid metabolism"
"alpha-Linolenic acid metabolism","Limosilactobacillus reuteri JCM 1081",0.25,"map00592","Metabolism; Lipid metabolism"
"Chloroalkane and chloroalkene degradation","Limosilactobacillus reuteri JCM 1081",0.25,"map00625","Metabolism; Xenobiotics biodegradation and metabolism"
"Naphthalene degradation","Limosilactobacillus reuteri JCM 1081",0.25,"map00626","Metabolism; Xenobiotics biodegradation and metabolism"
"Retinol metabolism","Limosilactobacillus reuteri JCM 1081",0.25,"map00830","Metabolism; Metabolism of cofactors and vitamins"
"Metabolism of xenobiotics by cytochrome P450","Limosilactobacillus reuteri JCM 1081",0.25,"map00980","Metabolism; Xenobiotics biodegradation and metabolism"
"Drug metabolism - cytochrome P450","Limosilactobacillus reuteri JCM 1081",0.25,"map00982","Metabolism; Xenobiotics biodegradation and metabolism"
"Polyketide sugar unit biosynthesis","Limosilactobacillus reuteri JCM 1081",0.21,"map00523","Metabolism; Metabolism of terpenoids and polyketides"
"Acarbose and validamycin biosynthesis","Limosilactobacillus reuteri JCM 1081",0.21,"map00525","Metabolism; Biosynthesis of other secondary metabolites"
